title_id,title_name,genre,release_year,popularity_score,content_score,collab_score,hybrid_score,user_id
1,Action Chronicles 1,Action,2009,0.897,0.0,1.0,0.6,2827
1334,Action Tales 1334,Action,1992,0.398,0.0,1.0,0.6,2827
1341,Mystery Journey 1341,Mystery,1997,0.616,0.0,1.0,0.6,2827
1340,Comedy Journey 1340,Comedy,2023,0.179,0.0,1.0,0.6,2827
1339,Fantasy Journey 1339,Fantasy,1992,0.415,0.0,1.0,0.6,2827
1338,Drama Journey 1338,Drama,2006,0.288,0.0,1.0,0.6,2827
1337,Horror Quest 1337,Horror,2016,0.545,0.0,1.0,0.6,2827
1336,Documentary Journey 1336,Documentary,2013,0.318,0.0,1.0,0.6,2827
1335,Sci-Fi Tales 1335,Sci-Fi,2006,0.304,0.0,1.0,0.6,2827
1333,Mystery Quest 1333,Mystery,2008,0.569,0.0,1.0,0.6,2827
1,Action Chronicles 1,Action,2009,0.897,0.0,1.0,0.6,2093
1331,Documentary Quest 1331,Documentary,2019,0.293,0.0,1.0,0.6,2093
1339,Fantasy Journey 1339,Fantasy,1992,0.415,0.0,1.0,0.6,2093
1338,Drama Journey 1338,Drama,2006,0.288,0.0,1.0,0.6,2093
1336,Documentary Journey 1336,Documentary,2013,0.318,0.0,1.0,0.6,2093
1335,Sci-Fi Tales 1335,Sci-Fi,2006,0.304,0.0,1.0,0.6,2093
1334,Action Tales 1334,Action,1992,0.398,0.0,1.0,0.6,2093
1333,Mystery Quest 1333,Mystery,2008,0.569,0.0,1.0,0.6,2093
1332,Documentary Legacy 1332,Documentary,2004,0.676,0.0,1.0,0.6,2093
1330,Drama Quest 1330,Drama,1994,0.621,0.0,1.0,0.6,2093
1,Action Chronicles 1,Action,2009,0.897,0.0,1.0,0.6,7164
1334,Action Tales 1334,Action,1992,0.398,0.0,1.0,0.6,7164
1341,Mystery Journey 1341,Mystery,1997,0.616,0.0,1.0,0.6,7164
1340,Comedy Journey 1340,Comedy,2023,0.179,0.0,1.0,0.6,7164
1339,Fantasy Journey 1339,Fantasy,1992,0.415,0.0,1.0,0.6,7164
1338,Drama Journey 1338,Drama,2006,0.288,0.0,1.0,0.6,7164
1337,Horror Quest 1337,Horror,2016,0.545,0.0,1.0,0.6,7164
1336,Documentary Journey 1336,Documentary,2013,0.318,0.0,1.0,0.6,7164
1335,Sci-Fi Tales 1335,Sci-Fi,2006,0.304,0.0,1.0,0.6,7164
1333,Mystery Quest 1333,Mystery,2008,0.569,0.0,1.0,0.6,7164
1,Action Chronicles 1,Action,2009,0.897,0.0,1.0,0.6,5917
1334,Action Tales 1334,Action,1992,0.398,0.0,1.0,0.6,5917
1341,Mystery Journey 1341,Mystery,1997,0.616,0.0,1.0,0.6,5917
1340,Comedy Journey 1340,Comedy,2023,0.179,0.0,1.0,0.6,5917
1339,Fantasy Journey 1339,Fantasy,1992,0.415,0.0,1.0,0.6,5917
1338,Drama Journey 1338,Drama,2006,0.288,0.0,1.0,0.6,5917
1337,Horror Quest 1337,Horror,2016,0.545,0.0,1.0,0.6,5917
1336,Documentary Journey 1336,Documentary,2013,0.318,0.0,1.0,0.6,5917
1335,Sci-Fi Tales 1335,Sci-Fi,2006,0.304,0.0,1.0,0.6,5917
1333,Mystery Quest 1333,Mystery,2008,0.569,0.0,1.0,0.6,5917
1,Action Chronicles 1,Action,2009,0.897,0.0,3.0,0.6,5014
1336,Documentary Journey 1336,Documentary,2013,0.318,0.0,3.0,0.6,5014
1343,Crime Secrets 1343,Crime,1991,0.158,0.0,3.0,0.6,5014
1342,Crime Legacy 1342,Crime,2016,0.188,0.0,3.0,0.6,5014
1341,Mystery Journey 1341,Mystery,1997,0.616,0.0,3.0,0.6,5014
1340,Comedy Journey 1340,Comedy,2023,0.179,0.0,3.0,0.6,5014
1339,Fantasy Journey 1339,Fantasy,1992,0.415,0.0,3.0,0.6,5014
1338,Drama Journey 1338,Drama,2006,0.288,0.0,3.0,0.6,5014
1337,Horror Quest 1337,Horror,2016,0.545,0.0,3.0,0.6,5014
1335,Sci-Fi Tales 1335,Sci-Fi,2006,0.304,0.0,3.0,0.6,5014
